"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/1999","1,317.60","1,325.40","1,328.00","1,314.10","","-0.59%"
"06/10/1999","1,325.40","1,301.30","1,325.50","1,300.40","","1.85%"
"05/10/1999","1,301.30","1,304.60","1,316.40","1,286.40","","-0.25%"
"04/10/1999","1,304.60","1,282.80","1,304.60","1,282.80","","1.70%"
"01/10/1999","1,282.80","1,282.70","1,283.20","1,265.80","","0.01%"
"30/09/1999","1,282.70","1,268.40","1,291.30","1,268.40","","1.13%"
"29/09/1999","1,268.40","1,282.20","1,288.80","1,268.20","","-1.08%"
"28/09/1999","1,282.20","1,283.30","1,285.50","1,256.30","","-0.09%"
"27/09/1999","1,283.30","1,277.40","1,295.00","1,277.40","","0.46%"
"24/09/1999","1,277.40","1,280.40","1,281.20","1,263.80","","-0.23%"
"23/09/1999","1,280.40","1,310.50","1,315.20","1,277.30","","-2.30%"
"22/09/1999","1,310.50","1,307.60","1,316.20","1,297.80","","0.22%"
"21/09/1999","1,307.60","1,335.50","1,335.50","1,302.00","","-2.09%"
"20/09/1999","1,335.50","1,335.40","1,338.40","1,330.60","","0.01%"
"17/09/1999","1,335.40","1,318.50","1,337.60","1,318.50","","1.28%"
"16/09/1999","1,318.50","1,318.00","1,322.50","1,300.00","","0.04%"
"15/09/1999","1,318.00","1,336.30","1,347.20","1,318.00","","-1.37%"
"14/09/1999","1,336.30","1,344.10","1,344.20","1,330.60","","-0.58%"
"13/09/1999","1,344.10","1,351.70","1,351.70","1,341.70","","-0.56%"
"10/09/1999","1,351.70","1,347.70","1,357.70","1,346.10","","0.30%"
"09/09/1999","1,347.70","1,344.20","1,347.70","1,333.90","","0.26%"
"08/09/1999","1,344.20","1,343.40","1,355.20","1,337.40","","-0.47%"
"07/09/1999","1,350.50","1,357.20","1,361.30","1,349.60","","-0.49%"
"03/09/1999","1,357.20","1,319.10","1,357.70","1,319.10","","2.89%"
"02/09/1999","1,319.10","1,331.10","1,331.10","1,304.90","","-0.90%"
"01/09/1999","1,331.10","1,320.40","1,331.20","1,320.40","","0.81%"
"31/08/1999","1,320.40","1,324.00","1,333.30","1,307.00","","-0.27%"
"30/08/1999","1,324.00","1,348.30","1,350.70","1,322.80","","-1.80%"
"27/08/1999","1,348.30","1,362.00","1,365.60","1,347.30","","-1.01%"
"26/08/1999","1,362.00","1,381.80","1,381.80","1,361.50","","-1.43%"
"25/08/1999","1,381.80","1,363.50","1,382.80","1,359.20","","1.34%"
"24/08/1999","1,363.50","1,360.20","1,373.30","1,353.60","","0.24%"
"23/08/1999","1,360.20","1,336.60","1,360.20","1,336.60","","1.77%"
"20/08/1999","1,336.60","1,323.60","1,336.60","1,323.60","","0.98%"
"19/08/1999","1,323.60","1,332.80","1,332.80","1,315.30","","-0.69%"
"18/08/1999","1,332.80","1,344.20","1,344.20","1,332.10","","-0.85%"
"17/08/1999","1,344.20","1,330.80","1,344.20","1,328.80","","1.01%"
"16/08/1999","1,330.80","1,327.70","1,331.00","1,320.50","","0.23%"
"13/08/1999","1,327.70","1,298.20","1,327.70","1,298.20","","2.27%"
"12/08/1999","1,298.20","1,301.90","1,313.60","1,298.10","","-0.28%"
"11/08/1999","1,301.90","1,281.40","1,301.90","1,281.40","","1.60%"
"10/08/1999","1,281.40","1,297.80","1,298.60","1,267.70","","-1.26%"
"09/08/1999","1,297.80","1,300.30","1,306.70","1,296.00","","-0.19%"
"06/08/1999","1,300.30","1,313.70","1,316.70","1,293.20","","-1.02%"
"05/08/1999","1,313.70","1,305.30","1,313.70","1,287.20","","0.64%"
"04/08/1999","1,305.30","1,322.20","1,330.20","1,304.50","","-1.28%"
"03/08/1999","1,322.20","1,328.00","1,336.10","1,314.90","","-0.44%"
"02/08/1999","1,328.00","1,328.70","1,344.70","1,325.20","","-0.05%"
"30/07/1999","1,328.70","1,341.00","1,350.90","1,328.50","","-0.92%"
"29/07/1999","1,341.00","1,365.40","1,365.40","1,332.60","","-1.79%"
"28/07/1999","1,365.40","1,362.80","1,370.40","1,355.60","","0.19%"
"27/07/1999","1,362.80","1,351.00","1,368.70","1,347.80","","1.11%"
"26/07/1999","1,347.80","1,356.90","1,358.60","1,346.20","","-0.67%"
"23/07/1999","1,356.90","1,361.00","1,367.40","1,349.90","","-0.30%"
"22/07/1999","1,361.00","1,379.30","1,379.30","1,354.00","","-1.33%"
"21/07/1999","1,379.30","1,377.10","1,386.70","1,372.60","","0.16%"
"20/07/1999","1,377.10","1,407.70","1,407.70","1,375.20","","-2.17%"
"19/07/1999","1,407.70","1,418.80","1,420.30","1,404.60","","-0.78%"
"16/07/1999","1,418.80","1,409.60","1,418.80","1,407.10","","0.65%"
"15/07/1999","1,409.60","1,398.20","1,409.80","1,398.20","","0.82%"
"14/07/1999","1,398.20","1,393.60","1,400.00","1,386.50","","0.33%"
"13/07/1999","1,393.60","1,399.10","1,399.10","1,386.80","","-0.39%"
"12/07/1999","1,399.10","1,403.30","1,406.80","1,394.70","","-0.30%"
"09/07/1999","1,403.30","1,394.40","1,403.30","1,394.40","","0.64%"
"08/07/1999","1,394.40","1,395.90","1,403.20","1,386.70","","-0.11%"
"07/07/1999","1,395.90","1,388.10","1,395.90","1,385.00","","0.56%"
"06/07/1999","1,388.10","1,391.20","1,405.30","1,387.10","","-0.22%"
"02/07/1999","1,391.20","1,381.00","1,391.20","1,379.60","","0.74%"
"01/07/1999","1,381.00","1,372.70","1,382.80","1,360.80","","0.60%"
"30/06/1999","1,372.70","1,351.50","1,372.90","1,338.80","","1.57%"
"29/06/1999","1,351.50","1,331.30","1,351.50","1,328.40","","1.52%"
"28/06/1999","1,331.30","1,315.30","1,338.70","1,315.30","","1.22%"
"25/06/1999","1,315.30","1,315.80","1,329.10","1,312.60","","-0.04%"
"24/06/1999","1,315.80","1,333.10","1,333.10","1,308.50","","-1.30%"
"23/06/1999","1,333.10","1,335.90","1,335.90","1,322.50","","-0.21%"
"22/06/1999","1,335.90","1,349.00","1,351.10","1,335.50","","-0.97%"
"21/06/1999","1,349.00","1,342.80","1,349.10","1,337.60","","0.46%"
"18/06/1999","1,342.80","1,339.90","1,344.50","1,333.50","","0.22%"
"17/06/1999","1,339.90","1,330.40","1,343.50","1,322.80","","0.71%"
"16/06/1999","1,330.40","1,301.20","1,332.80","1,301.20","","2.24%"
"15/06/1999","1,301.20","1,294.00","1,310.80","1,294.00","","0.56%"
"14/06/1999","1,294.00","1,293.60","1,302.00","1,292.20","","0.03%"
"11/06/1999","1,293.60","1,302.80","1,312.00","1,287.90","","-0.71%"
"10/06/1999","1,302.80","1,318.60","1,318.60","1,293.30","","-1.20%"
"09/06/1999","1,318.60","1,317.30","1,326.00","1,314.70","","0.10%"
"08/06/1999","1,317.30","1,334.50","1,334.50","1,312.80","","-1.29%"
"07/06/1999","1,334.50","1,327.80","1,336.40","1,325.90","","0.50%"
"04/06/1999","1,327.80","1,299.50","1,327.80","1,299.50","","2.18%"
"03/06/1999","1,299.50","1,294.80","1,304.20","1,294.20","","0.36%"
"02/06/1999","1,294.80","1,294.30","1,297.10","1,277.50","","0.04%"
"01/06/1999","1,294.30","1,301.80","1,301.80","1,281.40","","-0.58%"
"28/05/1999","1,301.80","1,281.40","1,304.00","1,281.40","","1.59%"
"27/05/1999","1,281.40","1,304.80","1,304.80","1,277.30","","-1.79%"
"26/05/1999","1,304.80","1,284.40","1,304.80","1,278.40","","1.59%"
"25/05/1999","1,284.40","1,306.70","1,317.50","1,284.40","","-1.71%"
"24/05/1999","1,306.70","1,330.30","1,333.00","1,303.50","","-1.77%"
"21/05/1999","1,330.30","1,338.80","1,340.90","1,326.20","","-0.63%"
"20/05/1999","1,338.80","1,344.20","1,350.50","1,338.80","","-0.40%"
"19/05/1999","1,344.20","1,333.30","1,344.20","1,327.00","","0.82%"
"18/05/1999","1,333.30","1,339.50","1,345.40","1,323.50","","-0.46%"
"17/05/1999","1,339.50","1,337.80","1,340.00","1,321.20","","0.13%"
"14/05/1999","1,337.80","1,367.60","1,367.60","1,332.60","","-2.18%"
"13/05/1999","1,367.60","1,364.00","1,376.00","1,364.00","","0.26%"
"12/05/1999","1,364.00","1,355.60","1,367.40","1,333.10","","0.62%"
"11/05/1999","1,355.60","1,340.30","1,360.00","1,340.30","","1.14%"
"10/05/1999","1,340.30","1,345.00","1,352.00","1,334.00","","-0.35%"
"07/05/1999","1,345.00","1,332.00","1,346.00","1,332.00","","0.98%"
"06/05/1999","1,332.00","1,347.30","1,348.40","1,322.60","","-1.14%"
"05/05/1999","1,347.30","1,332.00","1,347.30","1,317.40","","1.15%"
"04/05/1999","1,332.00","1,354.60","1,354.60","1,330.60","","-1.67%"
"03/05/1999","1,354.60","1,335.20","1,354.60","1,329.00","","1.45%"
"30/04/1999","1,335.20","1,342.80","1,351.80","1,314.60","","-0.57%"
"29/04/1999","1,342.80","1,350.90","1,356.80","1,336.80","","-0.60%"
"28/04/1999","1,350.90","1,362.80","1,368.60","1,348.30","","-0.87%"
"27/04/1999","1,362.80","1,360.00","1,371.60","1,356.50","","0.21%"
"26/04/1999","1,360.00","1,356.80","1,363.60","1,353.70","","0.24%"
"23/04/1999","1,356.80","1,358.80","1,363.70","1,348.50","","-0.15%"
"22/04/1999","1,358.80","1,336.10","1,358.80","1,336.10","","1.70%"
"21/04/1999","1,336.10","1,306.20","1,336.10","1,301.80","","2.29%"
"20/04/1999","1,306.20","1,289.50","1,306.30","1,284.20","","1.30%"
"19/04/1999","1,289.50","1,319.00","1,340.10","1,284.50","","-2.24%"
